country_code,indicator,currency_code,frequency,year,avg_wage_value
AUS,AVWAGE,USD,A,1990,40717.48312
AUS,AVWAGE,USD,A,1991,40523.59008
AUS,AVWAGE,USD,A,1992,41337.04645
AUS,AVWAGE,USD,A,1993,41717.57803
AUS,AVWAGE,USD,A,1994,42000.4198
AUS,AVWAGE,USD,A,1995,41838.99354
AUS,AVWAGE,USD,A,1996,43078.49199
AUS,AVWAGE,USD,A,1997,44367.73994
AUS,AVWAGE,USD,A,1998,44997.18051
AUS,AVWAGE,USD,A,1999,46056.21709
AUS,AVWAGE,USD,A,2000,46156.00471
AUS,AVWAGE,USD,A,2001,46658.38049
AUS,AVWAGE,USD,A,2002,46979.50613
AUS,AVWAGE,USD,A,2003,47529.08855
AUS,AVWAGE,USD,A,2004,49007.97724
AUS,AVWAGE,USD,A,2005,49641.47138
AUS,AVWAGE,USD,A,2006,49962.5234
AUS,AVWAGE,USD,A,2007,51341.25111
AUS,AVWAGE,USD,A,2008,51755.30258
AUS,AVWAGE,USD,A,2009,51286.04809
AUS,AVWAGE,USD,A,2010,53054.72585
AUS,AVWAGE,USD,A,2011,54732.88016
AUS,AVWAGE,USD,A,2012,55058.21194
AUS,AVWAGE,USD,A,2013,54805.62455
AUS,AVWAGE,USD,A,2014,55226.3203
AUS,AVWAGE,USD,A,2015,54773.99376
AUS,AVWAGE,USD,A,2016,54799.8626
AUS,AVWAGE,USD,A,2017,54327.04477
AUS,AVWAGE,USD,A,2018,54147.4705
AUS,AVWAGE,USD,A,2019,54401.4253
AUT,AVWAGE,USD,A,1990,42961.52739
AUT,AVWAGE,USD,A,1991,44304.4441
AUT,AVWAGE,USD,A,1992,45197.01681
AUT,AVWAGE,USD,A,1993,45565.52109
AUT,AVWAGE,USD,A,1994,46024.60704
AUT,AVWAGE,USD,A,1995,46395.3877
AUT,AVWAGE,USD,A,1996,46048.90597
AUT,AVWAGE,USD,A,1997,45667.12822
AUT,AVWAGE,USD,A,1998,47134.22519
AUT,AVWAGE,USD,A,1999,48169.25513
AUT,AVWAGE,USD,A,2000,48301.77172
AUT,AVWAGE,USD,A,2001,48178.32743
AUT,AVWAGE,USD,A,2002,48888.5516
AUT,AVWAGE,USD,A,2003,49031.32592
AUT,AVWAGE,USD,A,2004,49953.36687
AUT,AVWAGE,USD,A,2005,50217.15381
AUT,AVWAGE,USD,A,2006,50947.05792
AUT,AVWAGE,USD,A,2007,51196.64443
AUT,AVWAGE,USD,A,2008,52102.64226
AUT,AVWAGE,USD,A,2009,52941.09537
AUT,AVWAGE,USD,A,2010,52718.89005
AUT,AVWAGE,USD,A,2011,52179.37023
AUT,AVWAGE,USD,A,2012,52445.89863
AUT,AVWAGE,USD,A,2013,52510.3157
AUT,AVWAGE,USD,A,2014,52711.04885
AUT,AVWAGE,USD,A,2015,53052.21668
AUT,AVWAGE,USD,A,2016,53589.1886
AUT,AVWAGE,USD,A,2017,53436.61223
