crypto_currency,currency_code,crypto_value
BTC,USD,57276.69
ETH,USD,4186.45
DOGE,USD,0.4918
LTC,USD,386.78
BCH,USD,1582.82
XRP,USD,1.523
ADA,USD,1.788
XLM,USD,0.7173
LINK,USD,49.02
ALGO,USD,1.47
WBTC,USD,57284.16
YFI,USD,90250.61
COMP,USD,884.82
DASH,USD,425.02
ETC,USD,109.68
SOL,USD,45.22
UNI,USD,38.92
DOT,USD,39.05
CAKE,USD,36.76
WAVES,USD,32.87
ATOM,USD,27.23
BCD,USD,6.518
QTUM,USD,25.63
CEL,USD,7.197
MANA,USD,1.436
STX,USD,1.917
FTM,USD,0.7668
LUNA,USD,16.37
AAVE,USD,466.64
GRT,USD,1.494
SUSHI,USD,16.73
BNB,USD,672.06
USDT,USD,1.001
VET,USD,0.2148
THETA,USD,10.95
FIL,USD,145.33
TRX,USD,0.1449
EOS,USD,14.02
XMR,USD,456.6
NEO,USD,114.95
BSV,USD,390.43
MIOTA,USD,2.13
XTZ,USD,7.028
BTT,USD,0.006915
MKR,USD,5388.37
HT,USD,35.41
DAI,USD,1.002
