crypto_currency,currency_code,crypto_value,country_code,indicator,frequency,year,avg_wage_value,avg_wage_crypto_value
BTC,USD,57276.69,AUS,AVWAGE,A,2016-01-01,54799.8626,0.9567567993192344
BTC,USD,57276.69,AUS,AVWAGE,A,2017-01-01,54327.04477,0.9485018210724118
BTC,USD,57276.69,AUS,AVWAGE,A,2018-01-01,54147.4705,0.945366614236961
BTC,USD,57276.69,AUS,AVWAGE,A,2019-01-01,54401.4253,0.9498004388870935
BTC,USD,57276.69,AUT,AVWAGE,A,2016-01-01,53589.1886,0.9356195094374343
BTC,USD,57276.69,AUT,AVWAGE,A,2017-01-01,53436.61223,0.9329556618931715
BTC,USD,57276.69,AUT,AVWAGE,A,2018-01-01,53560.92351,0.9351260261373344
BTC,USD,57276.69,AUT,AVWAGE,A,2019-01-01,53902.94904,0.9410974873024262
BTC,USD,57276.69,BEL,AVWAGE,A,2016-01-01,54883.6518,0.9582196841332835
BTC,USD,57276.69,BEL,AVWAGE,A,2017-01-01,54626.06533,0.953722453759112
BTC,USD,57276.69,BEL,AVWAGE,A,2018-01-01,55065.81147,0.9614000297503225
BTC,USD,57276.69,BEL,AVWAGE,A,2019-01-01,55590.13046,0.9705541723867074
BTC,USD,57276.69,CAN,AVWAGE,A,2016-01-01,51562.73934,0.9002395099996177
BTC,USD,57276.69,CAN,AVWAGE,A,2017-01-01,52219.39272,0.9117040932358347
BTC,USD,57276.69,CAN,AVWAGE,A,2018-01-01,52831.4837,0.9223906566528197
BTC,USD,57276.69,CAN,AVWAGE,A,2019-01-01,53198.17296,0.9287927245795803
BTC,USD,57276.69,CZE,AVWAGE,A,2016-01-01,25819.17199,0.45077974984238783
BTC,USD,57276.69,CZE,AVWAGE,A,2017-01-01,26888.62221,0.4694513982913468
BTC,USD,57276.69,CZE,AVWAGE,A,2018-01-01,28360.36471,0.4951467116902181
BTC,USD,57276.69,CZE,AVWAGE,A,2019-01-01,29280.78997,0.5112165170508282
BTC,USD,57276.69,DNK,AVWAGE,A,2016-01-01,56883.11049,0.9931284522551844
BTC,USD,57276.69,DNK,AVWAGE,A,2017-01-01,56277.32497,0.9825519765545111
BTC,USD,57276.69,DNK,AVWAGE,A,2018-01-01,56827.52767,0.992158025716919
BTC,USD,57276.69,DNK,AVWAGE,A,2019-01-01,57149.59431,0.9977810224368762
BTC,USD,57276.69,FIN,AVWAGE,A,2016-01-01,44975.60703,0.7852340459967222
BTC,USD,57276.69,FIN,AVWAGE,A,2017-01-01,44864.41587,0.783292747363718
BTC,USD,57276.69,FIN,AVWAGE,A,2018-01-01,45023.39388,0.7860683618414402
BTC,USD,57276.69,FIN,AVWAGE,A,2019-01-01,45697.55615,0.7978386347046241
BTC,USD,57276.69,FRA,AVWAGE,A,2016-01-01,45610.18378,0.7963131909333447
BTC,USD,57276.69,FRA,AVWAGE,A,2017-01-01,46162.80625,0.8059614871250416
BTC,USD,57276.69,FRA,AVWAGE,A,2018-01-01,46256.36191,0.8075948856332306
BTC,USD,57276.69,FRA,AVWAGE,A,2019-01-01,46480.6154,0.81151015186108
BTC,USD,57276.69,DEU,AVWAGE,A,2016-01-01,51622.98488,0.9012913434767268
BTC,USD,57276.69,DEU,AVWAGE,A,2017-01-01,52181.30995,0.9110392019860086
BTC,USD,57276.69,DEU,AVWAGE,A,2018-01-01,52929.5536,0.9241028697712804
BTC,USD,57276.69,DEU,AVWAGE,A,2019-01-01,53637.8016,0.9364682491254295
BTC,USD,57276.69,GRC,AVWAGE,A,2016-01-01,27394.53173,0.47828412797597064
BTC,USD,57276.69,GRC,AVWAGE,A,2017-01-01,27321.80061,0.47701430739101713
BTC,USD,57276.69,GRC,AVWAGE,A,2018-01-01,27479.68523,0.4797708322530509
BTC,USD,57276.69,GRC,AVWAGE,A,2019-01-01,27459.1259,0.4794118846602343
BTC,USD,57276.69,HUN,AVWAGE,A,2016-01-01,21810.41182,0.3807903672506215
BTC,USD,57276.69,HUN,AVWAGE,A,2017-01-01,23527.36545,0.4107668486080463
BTC,USD,57276.69,HUN,AVWAGE,A,2018-01-01,24702.95934,0.4312916710096201
BTC,USD,57276.69,HUN,AVWAGE,A,2019-01-01,26223.19671,0.45783366165188666
BTC,USD,57276.69,IRL,AVWAGE,A,2016-01-01,49030.4212,0.8560274904153853
BTC,USD,57276.69,IRL,AVWAGE,A,2017-01-01,49585.17818,0.8657130532508076
BTC,USD,57276.69,IRL,AVWAGE,A,2018-01-01,49695.39773,0.8676373884384728
BTC,USD,57276.69,IRL,AVWAGE,A,2019-01-01,50490.47141,0.8815186668433528
BTC,USD,57276.69,ITA,AVWAGE,A,2016-01-01,38982.24797,0.6805953341577524
BTC,USD,57276.69,ITA,AVWAGE,A,2017-01-01,38706.95871,0.6757890288352906
BTC,USD,57276.69,ITA,AVWAGE,A,2018-01-01,38852.72523,0.6783339824630228
BTC,USD,57276.69,ITA,AVWAGE,A,2019-01-01,39189.36576,0.6842114263236929
BTC,USD,57276.69,JPN,AVWAGE,A,2016-01-01,37896.31241,0.6616358663533105
BTC,USD,57276.69,JPN,AVWAGE,A,2017-01-01,38084.71057,0.6649251304501012
BTC,USD,57276.69,JPN,AVWAGE,A,2018-01-01,38193.16835,0.6668187067024998
BTC,USD,57276.69,JPN,AVWAGE,A,2019-01-01,38617.46549,0.674226556911721
BTC,USD,57276.69,KOR,AVWAGE,A,2016-01-01,38617.35471,0.6742246227915754
BTC,USD,57276.69,KOR,AVWAGE,A,2017-01-01,39551.53296,0.6905345431099457
BTC,USD,57276.69,KOR,AVWAGE,A,2018-01-01,40820.34833,0.7126869295345104
BTC,USD,57276.69,KOR,AVWAGE,A,2019-01-01,42284.78911,0.738254761404683
BTC,USD,57276.69,LUX,AVWAGE,A,2016-01-01,68503.77293,1.1960148697489328
BTC,USD,57276.69,LUX,AVWAGE,A,2017-01-01,69541.03065,1.2141244658167223
BTC,USD,57276.69,LUX,AVWAGE,A,2018-01-01,69556.26185,1.2143903890046717
BTC,USD,57276.69,LUX,AVWAGE,A,2019-01-01,68680.52973,1.1991008860672638
BTC,USD,57276.69,MEX,AVWAGE,A,2016-01-01,16981.33584,0.29647900114339704
BTC,USD,57276.69,MEX,AVWAGE,A,2017-01-01,16984.11528,0.2965275276905841
BTC,USD,57276.69,MEX,AVWAGE,A,2018-01-01,17180.80319,0.2999615234399893
BTC,USD,57276.69,MEX,AVWAGE,A,2019-01-01,17594.46105,0.30718362129515514
BTC,USD,57276.69,NLD,AVWAGE,A,2016-01-01,57573.20166,1.0051768295269856
BTC,USD,57276.69,NLD,AVWAGE,A,2017-01-01,57138.28325,0.9975835414022702
BTC,USD,57276.69,NLD,AVWAGE,A,2018-01-01,56708.92587,0.9900873439090142
BTC,USD,57276.69,NLD,AVWAGE,A,2019-01-01,56552.29043,0.9873526286173311
BTC,USD,57276.69,NOR,AVWAGE,A,2016-01-01,52943.44998,0.9243454881907456
BTC,USD,57276.69,NOR,AVWAGE,A,2017-01-01,53034.32566,0.9259320966347742
BTC,USD,57276.69,NOR,AVWAGE,A,2018-01-01,53484.64221,0.9337942225711715
BTC,USD,57276.69,NOR,AVWAGE,A,2019-01-01,54027.48705,0.943271810050476
BTC,USD,57276.69,POL,AVWAGE,A,2016-01-01,26934.07273,0.4702449238948689
BTC,USD,57276.69,POL,AVWAGE,A,2017-01-01,28070.80769,0.4900913039842212
BTC,USD,57276.69,POL,AVWAGE,A,2018-01-01,30090.88308,0.525360021328048
BTC,USD,57276.69,POL,AVWAGE,A,2019-01-01,31969.56803,0.5581601875038519
BTC,USD,57276.69,PRT,AVWAGE,A,2016-01-01,26023.70855,0.45435077603122664
BTC,USD,57276.69,PRT,AVWAGE,A,2017-01-01,26141.28364,0.4564035323968616
BTC,USD,57276.69,PRT,AVWAGE,A,2018-01-01,26413.09577,0.46114913012606
BTC,USD,57276.69,PRT,AVWAGE,A,2019-01-01,26633.71719,0.4650009836462267
BTC,USD,57276.69,SVK,AVWAGE,A,2016-01-01,22947.42395,0.4006415864813417
BTC,USD,57276.69,SVK,AVWAGE,A,2017-01-01,23610.42637,0.4122170183018607
BTC,USD,57276.69,SVK,AVWAGE,A,2018-01-01,24254.01607,0.42345352131905667
BTC,USD,57276.69,SVK,AVWAGE,A,2019-01-01,25452.38663,0.4443760040952087
BTC,USD,57276.69,ESP,AVWAGE,A,2016-01-01,39413.14818,0.6881184680888507
BTC,USD,57276.69,ESP,AVWAGE,A,2017-01-01,38897.90764,0.6791228271047086
BTC,USD,57276.69,ESP,AVWAGE,A,2018-01-01,38554.41746,0.6731257944549518
BTC,USD,57276.69,ESP,AVWAGE,A,2019-01-01,38757.56996,0.6766726561887567
BTC,USD,57276.69,SWE,AVWAGE,A,2016-01-01,45552.08133,0.7952987738991202
BTC,USD,57276.69,SWE,AVWAGE,A,2017-01-01,45818.05044,0.7999423577025837
BTC,USD,57276.69,SWE,AVWAGE,A,2018-01-01,46061.69242,0.8041961296995339
BTC,USD,57276.69,SWE,AVWAGE,A,2019-01-01,46695.34986,0.8152592243022423
BTC,USD,57276.69,CHE,AVWAGE,A,2016-01-01,66349.80362,1.1584084838003035
BTC,USD,57276.69,CHE,AVWAGE,A,2017-01-01,66131.82428,1.1546027586440486
BTC,USD,57276.69,CHE,AVWAGE,A,2018-01-01,66120.94281,1.154412777868274
BTC,USD,57276.69,CHE,AVWAGE,A,2019-01-01,66566.72632,1.1621957609631421
BTC,USD,57276.69,GBR,AVWAGE,A,2016-01-01,46087.95586,0.8046546659731908
BTC,USD,57276.69,GBR,AVWAGE,A,2017-01-01,46492.67666,0.8117207307195998
BTC,USD,57276.69,GBR,AVWAGE,A,2018-01-01,46655.52243,0.8145638728425123
BTC,USD,57276.69,GBR,AVWAGE,A,2019-01-01,47226.08766,0.8245254336449959
